pCL_name (or CL_name),transcriptome data cluster,TDC_id,pCL_id (or CL_id),definition,part_of (uberon_id),Species_source,Species_ID,part_of (uberon_name),is_a (CL or pCL_id)_parent_ID,is_a (CL or pCL_name)_parent_name,cluster_size (number of cells),f-measure_evidence,marker_gene_evidence,selectively_expresses,selectively_expresses,selectively_expresses,selectively_expresses,selectively_expresses,neuron_type
Inh SNCG PLPPR1,Inh SNCG PLPPR1,Bakken321,pCL425,"is a SNCG marmoset primary motor cortex GABAergic interneuron that selectively expresses CNR1, and TRPM3 mRNAs",UBERON_0001384,Marmoset,NCBI:txid9483,primary motor cortex,pCL115,SNCG expressing GABAergic neuron,113,0.747800587,2,CNR1,TRPM3,,,,GAD
Inh SST ABI3BP,Inh SST ABI3BP,Bakken322,pCL426,"is a SST marmoset primary motor cortex GABAergic interneuron that selectively expresses ABI3BP, and LOC100401328 mRNAs",UBERON_0001384,Marmoset,NCBI:txid9483,primary motor cortex,pCL117,SST expressing GABAergic neuron,152,0.335051546,2,ABI3BP,LOC100401328,,,,GAD
Inh SST AIM1,Inh SST AIM1,Bakken323,pCL427,"is a SST marmoset primary motor cortex GABAergic interneuron that selectively expresses NELL1, and TRHDE mRNAs",UBERON_0001384,Marmoset,NCBI:txid9483,primary motor cortex,pCL117,SST expressing GABAergic neuron,255,0.387722132,2,NELL1,TRHDE,,,,GAD
Inh SST CBLN4,Inh SST CBLN4,Bakken324,pCL428,"is a SST marmoset primary motor cortex GABAergic interneuron that selectively expresses CBLN4, and COL24A1 mRNAs",UBERON_0001384,Marmoset,NCBI:txid9483,primary motor cortex,pCL117,SST expressing GABAergic neuron,297,0.561613959,2,CBLN4,COL24A1,,,,GAD
Inh SST KIRREL3,Inh SST KIRREL3,Bakken325,pCL429,"is a SST marmoset primary motor cortex GABAergic interneuron that selectively expresses COL25A1, and PTPRT, and SERPINI1 mRNAs",UBERON_0001384,Marmoset,NCBI:txid9483,primary motor cortex,pCL117,SST expressing GABAergic neuron,185,0.498753117,3,COL25A1,PTPRT,SERPINI1,,,GAD
Inh SST LOC103788138,Inh SST LOC103788138,Bakken326,pCL430,"is a SST marmoset primary motor cortex GABAergic interneuron that selectively expresses ALK, and GLRA3, and TRHDE mRNAs",UBERON_0001384,Marmoset,NCBI:txid9483,primary motor cortex,pCL117,SST expressing GABAergic neuron,54,0.576923077,3,ALK,GLRA3,TRHDE,,,GAD
Inh SST LOC103788660,Inh SST LOC103788660,Bakken327,pCL431,"is a SST marmoset primary motor cortex GABAergic interneuron that selectively expresses COL24A1, and COL25A1, and NXPH1 mRNAs",UBERON_0001384,Marmoset,NCBI:txid9483,primary motor cortex,pCL117,SST expressing GABAergic neuron,323,0.46230441,3,COL24A1,COL25A1,NXPH1,,,GAD
Inh SST LOC108588801,Inh SST LOC108588801,Bakken328,pCL432,"is a SST marmoset primary motor cortex GABAergic interneuron that selectively expresses COL25A1, and LOC108588801, and PCDH11X mRNAs",UBERON_0001384,Marmoset,NCBI:txid9483,primary motor cortex,pCL117,SST expressing GABAergic neuron,186,0.735930736,3,COL25A1,LOC108588801,PCDH11X,,,GAD
Inh SST LOC108589054,Inh SST LOC108589054,Bakken329,pCL433,"is a SST marmoset primary motor cortex GABAergic interneuron that selectively expresses SULF1, and THSD7B mRNAs",UBERON_0001384,Marmoset,NCBI:txid9483,primary motor cortex,pCL117,SST expressing GABAergic neuron,113,0.755148741,2,SULF1,THSD7B,,,,GAD
Inh SST LTBP1,Inh SST LTBP1,Bakken330,pCL434,"is a SST marmoset primary motor cortex GABAergic interneuron that selectively expresses COL12A1, and TRHDE mRNAs",UBERON_0001384,Marmoset,NCBI:txid9483,primary motor cortex,pCL117,SST expressing GABAergic neuron,209,0.627400768,2,COL12A1,TRHDE,,,,GAD
Inh SST MPP5,Inh SST MPP5,Bakken331,pCL435,"is a SST marmoset primary motor cortex GABAergic interneuron that selectively expresses ARHGAP24, and SYT9, and TAC1 mRNAs",UBERON_0001384,Marmoset,NCBI:txid9483,primary motor cortex,pCL117,SST expressing GABAergic neuron,48,0.46875,3,ARHGAP24,SYT9,TAC1,,,GAD
Inh SST NPY,Inh SST NPY,Bakken332,pCL436,is a SST CHODL marmoset primary motor cortex GABAergic interneuron that selectively expresses NPY mRNAs,UBERON_0001384,Marmoset,NCBI:txid9483,primary motor cortex,pCL116,SST CHODL expressing GABAergic neuron,19,0.818181818,1,NPY,,,,,GAD
